Survey Information
ID,23
Title,eNPS March 2025
Created At,2025-03-17 03:21:16
Buyer Name,Johnny & Jugnu

Employee Statistics
Total Filtered Employees,631
Employees With Responses,454
Pending Employees,177

Response Number,Branch,Designation,Employment type,Time spent with company,"I feel comfortable approaching my Branch Leader when I have doubts or concerns. 
",My Branch Leader takes timely and effective action on employee concerns,I do not feel comfortable reporting workplace issues due to fear of retaliation from management.,My Branch Leader is actively present and engaged in daily operations.,My Branch Leader regularly recognises and appreciates good performance during shifts.,"My Branch Leader clearly communicates company policies, strategies, and changes.",I have always been treated with fairness and respect. ,I feel mentally and emotionally comfortable in my branch.,My colleagues support me during both good and difficult times.,"I feel my workplace is free from verbal, physical or emotional mistreatment.",My colleagues do not make inappropriate comments about my personal or physical attributes.,I feel accepted as part of my team. ,"Everyone at my branch is given equal opportunities for hiring, feedback, and support.",I feel like the workload is fairly distributed among team members,Promotions and career growth at JJ are based on skills and performance rather than favouritism.,I consistently receive constructive feedback from my Manager that helps me improve my performance.,My Manager consistently provides me with guidance for my growth and development.,"I understand JJ’s core values [be the best, empathy, we are one, resilience, happiness, sincerity, homie and innovation] and can apply them in my personal and professional life.",I am satisfied with my salary,I am satisfied with the perks and benefits provided by the Company.,My HR Team is approachable and addresses my concerns in a timely manner.,My company invests in my training and helps me grow in my job,I feel inspired by my training team to be better.,The training I received from my training team helped me do my job better.,"I feel that workplace safety standards and protocols are properly followed, and I feel physically safe at work.","On a scale of 1 to 10, how likely are you to recommend JJ as a workplace to your friends and family? ",What improvements would enhance your experience at JJ?
Response_260,Phase 6,FOH Manager,Permanent,6 months to 1 year,3. agree,2. Disagree,2. Disagree,4. Strongly Agree,3. Agree,2. Disagree,2. Disagree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,2. Disagree,3. Agree,3. Agree,3. Agree,2. Disagree,2. Disagree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,5,I dont want to give any suggestions because it seems I have no worth.If this FOS is going to be followed  kindly heed on it.. 
Response_261,Phase 4 (CC),FOH Manager,Permanent,3-6 months,2. disagree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,2. Disagree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,1. Strongly Disagree,1. Strongly Disagree,4. Strongly Agree,2. Disagree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,7,"People Mangement
System Grip
Micro Management 
Leadership Skills Online Meeting & Classes 
Management Monthly PMNL And All Cost’s Training 
NSF Audit And Punjab Food Authority Test


"
Response_262,Phase 4 (CC),Delivery Rider,Contractual,More than 3 years,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,All is good 👍
Response_263,Phase 4 (CC),Crew,Permanent,More than 3 years,4. strongly agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,9,Jj is good 
Response_264,Phase 4 (CC),BOH Manager,Permanent,More than 1 year,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,10 = Extremely likely,"ALL IS OK,

COMPANY ALREADY WORKING ON IT FOR BETTER ENVIRONMENT "
Response_265,Phase 4 (CC),DFPL,Permanent,More than 1 year,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,No thank you 
Response_266,Phase 4 (CC),Crew,Permanent,More than 1 year,4. strongly agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,2. Disagree,3. Agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,10 = Extremely likely,I feel that safety protocols are better 
Response_267,Phase 4 (CC),DFPL,Permanent,More than 3 years,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,10 = Extremely likely,Everything is good ☺️
Response_268,Phase 4 (CC),Crew,Contractual,More than 1 year,4. strongly agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,All are great 
Response_269,Phase 4 (CC),Crew,Part time,3-6 months,3. agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,7,Me agree hu jo jawab deye
Response_270,Phase 4 (CC),Crew,Permanent,More than 1 year,4. strongly agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,10 = Extremely likely,All is good 👍
Response_271,Phase 4 (CC),Crew,Part time,3-6 months,4. strongly agree,3. Agree,1. Strongly Disagree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,10 = Extremely likely,Equipment's and filteration of fryer and gass slander...
Response_272,Phase 4 (CC),Crew,Contractual,0-3 months,3. agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,3. Agree,2. Disagree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,3. Agree,3. Agree,2. Disagree,9,"Jj main Kam krny k liye Thora MasLa aa rha Hain yaha ac band honty h or garmi may Kam krna prta h 
And "
Response_273,Phase 4 (CC),Crew,Contractual,6 months to 1 year,4. strongly agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,Rules sab k liye same hona chahye 
Response_274,Phase 4 (CC),Delivery Rider,Permanent,More than 3 years,4. strongly agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,sb theek  ha God bless jk khuda  Jj ko or zyda  tarki ata kary 
Response_275,Phase 4 (CC),Delivery Rider,Contractual,More than 1 year,4. strongly agree,4. Strongly Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,9,"Everything is Excellent, "
Response_276,Phase 4 (CC),Crew,Contractual,More than 1 year,3. agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,10 = Extremely likely,Micro Management Nhi Honi Cheay
Response_277,Phase 4 (CC),Crew,Contractual,0-3 months,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,I am very happy work in JJ 
Response_278,Phase 4 (CC),Crew,Permanent,More than 3 years,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,2. Disagree,2. Disagree,4. Strongly Agree,4. Strongly Agree,"4. Strongly Agree, 3. Agree",3. Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,10 = Extremely likely,"I'm fully satisfied with this company rules and regulations and policies.
And I'm fully satisfied for Avery things "
Response_279,Phase 4 (CC),Crew,Part time,3-6 months,3. agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,1. Strongly Disagree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,2. Disagree,4. Strongly Agree,2. Disagree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,3,Jo hamhre branch ma cleaning wale Chacho ha wo ak shafit ma 2 hone chaheya take ka Jo crew ha wo apne kitchen per acha se tawja se da sake
Response_280,Phase 4 (CC),Crew,Part time,3-6 months,3. agree,3. Agree,2. Disagree,3. Agree,2. Disagree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,2. Disagree,2. Disagree,3. Agree,3. Agree,3. Agree,9,I'm a part time  and I spend seven months here.  So I want grow in this company. Please  I think so that I'm  eligible for the duty of full time.
Response_281,Phase 4 (CC),Crew,Part time,3-6 months,1. strongly disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,2. Disagree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,1. Strongly Disagree,3. Agree,1. Strongly Disagree,3. Agree,4. Strongly Agree,4. Strongly Agree,2. Disagree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,8,"Our managers should be taught that How should crew be treated
"
Response_282,Wehshi Lab,Crew,Permanent,0-3 months,3. agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,10,Overtime nahi milta please request ha espy focus kiya jy
Response_283,Bahria Town,Crew,Permanent,6 months to 1 year,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,"Ma food deta Hu or Jo food ata ha wo bilcol b thk niii ha kindly is
ko change kry"
Response_284,Johar Town Branch,Crew,Contractual,6 months to 1 year,3. agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,Johnny jugnu Baki companies se to Alhamdulilah Bhoot acha ha or salaries wise to acho se b acha ha jitna mane dekha h Lekin phir b Jo cheezy mujhe ni bhtar lgi in ik sal me wo ye ha Johnny and jugnu me or improvement or bhtari ese a sakhti ha k JJ Apni company k Jo issue hain jese facility issue fry temperature or sab se bari bt 3 mahino se humari branch pe cillicone pad ni ha to bhtari kese aye gi ye choti choti cheezy hain Jo company k experience khrab krti hain or growth company ki Sirf unity se a sakhti unity ha to company to Allah Talah k fazal se koi taraki se ni rukh sakhta Baki meri Dua ha K Allah Talah Company to khoob taraki or kamiabi ata kry jesi humari company ha inshallah ik din company k name pori dunya me ho ga inshallah meri ye ray ha.
Response_285,Phase 4 (CC),Crew,Contractual,More than 1 year,3. agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3,All Done
Response_286,Phase 4 (CC),Delivery Rider,Permanent,More than 3 years,3. agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,1. Strongly Disagree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,10 = Extremely likely,"All is good 👍 
"
Response_287,Phase 4 (CC),Crew,Permanent,More than 3 years,1. strongly disagree,2. Disagree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,Everyting all good
Response_288,Phase 4 (CC),Delivery Rider,Part time,More than 3 years,4. strongly agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,10 = Extremely likely,Improvement anything anytime 
Response_289,Phase 4 (CC),Delivery Rider,Part time,More than 1 year,4. strongly agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,10 = Extremely likely,All okay 
Response_290,Phase 4 (CC),Crew,Contractual,More than 1 year,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,10 = Extremely likely,Everything is too good in johnny and jugnu All sensor's HR staff managers we'll work ship and good for all staff Crew and team 
Response_291,Phase 4 (CC),Delivery Rider,Part time,More than 1 year,3. agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,10 = Extremely likely,All is good
Response_292,Phase 4 (CC),Crew,Permanent,More than 3 years,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,JJ aik bohat Achi Jaga hai job Karne ke liye  JJ is very best company in the world
Response_293,Phase 4 (CC),Delivery Rider,Contractual,More than 3 years,3. agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,1. Strongly Disagree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,All is good 
Response_294,Phase 4 (CC),Delivery Rider,Permanent,More than 1 year,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,Jj aik bhtt acha brand h mujhay js ma bhtt mzza a raha h acha feel hota h kam krtay howay 
Response_295,Phase 4 (CC),Crew,Part time,0-3 months,3. agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,3. Agree,1. Strongly Disagree,1. Strongly Disagree,3. Agree,3. Agree,1. Strongly Disagree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,1. Strongly Disagree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,1. Strongly Disagree,6,Hr team should more interact with employees bcz sometimes we face favoriteism between employee 
Response_296,Phase 4 (CC),Crew,Contractual,More than 1 year,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,As a DFPL I  can improve my experience at JJ
Response_297,Phase 4 (CC),Crew,Contractual,More than 1 year,1. strongly disagree,2. Disagree,4. Strongly Agree,2. Disagree,2. Disagree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,2. Disagree,3. Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,1. Strongly Disagree,10 = Extremely likely,Sab sy pahly jo fryer ka blower ha usko ni thk krwa rahy peechy bht garmi hoti ha BL sy kai bar kaha h wo is bat ko ni sunty .. Aur BL hmari bat ko tarjeeh ni deta Is liye us sy bat krny me mushkil feel hoti ha ..
Response_298,Phase 4 (CC),Crew,Part time,3-6 months,3. agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,10 = Extremely likely,"Company boht achi hai but Kuch changing agr or ki jay to or bahter ho sakti hai means k kitchen ma bahtri honi chahiy 
Thank you fram Zeeshan Arif Cc branch "
Response_299,Phase 4 (CC),Crew,Contractual,More than 1 year,3. agree,2. Disagree,2. Disagree,3. Agree,3. Agree,3. Agree,2. Disagree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,1. Strongly Disagree,2. Disagree,3. Agree,3. Agree,2. Disagree,2. Disagree,3. Agree,2. Disagree,2. Disagree,2. Disagree,3. Agree,6,Sab se phly tw mery kheyal se jj ma ab favoriteism hoti ha jo k phly na hoti thi sbb se phly is ko khatm krna chaye dusry number py hamra BL larko k sath narmy k mamly nahe krta jb k kuch mowako py on ko krna cheye . Phly hamri trening rozz hoti thi prr ab month bad wo bhe wase nai hoti jesy honi chaye jis key wajha se boht sa kuch yaad nai rhta 
